;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_MKN_desc;Мы владеем провинциями, на которые  Mukriyan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BHT_title;Вернуть провинции Bohtan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BHT_desc;Мы владеем провинциями, на которые  Bohtan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SRN_title;Вернуть провинции Soran;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SRN_desc;Мы владеем провинциями, на которые  Soran имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LBG_title;Вернуть провинции Limburg;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LBG_desc;Мы владеем провинциями, на которые  Limburg имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PNB_title;Вернуть провинции Pernambuco;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PNB_desc;Мы владеем провинциями, на которые  Pernambuco имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FIU_title;Вернуть провинции Fiume;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FIU_desc;Мы владеем провинциями, на которые  Fiume имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SYC_title;Вернуть провинции Sicily;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SYC_desc;Мы владеем провинциями, на которые  Sicily имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MDV_title;Вернуть провинции Moldova;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MDV_desc;Мы владеем провинциями, на которые  Moldova имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ABK_title;Вернуть провинции Abkhazia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ABK_desc;Мы владеем провинциями, на которые  Abkhazia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRT_title;Вернуть провинции Corrientes;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRT_desc;Мы владеем провинциями, на которые  Corrientes имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SBA_title;Вернуть провинции Buenos Aires;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SBA_desc;Мы владеем провинциями, на которые  Buenos Aires имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ARC_title;Вернуть провинции Argentine Confederation;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARC_desc;Мы владеем провинциями, на которые  Argentine Confederation имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LHJ_title;Вернуть провинции Lahej;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LHJ_desc;Мы владеем провинциями, на которые  Lahej имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FDL_title;Вернуть провинции Fadhli;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FDL_desc;Мы владеем провинциями, на которые  Fadhli имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KTH_title;Вернуть провинции Kathiri;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KTH_desc;Мы владеем провинциями, на которые  Kathiri имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MHR_title;Вернуть провинции Mahra;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MHR_desc;Мы владеем провинциями, на которые  Mahra имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KML_title;Вернуть провинции Kumul;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KML_desc;Мы владеем провинциями, на которые  Kumul имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SHK_title;Вернуть провинции Shilluk;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SHK_desc;Мы владеем провинциями, на которые  Shilluk имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_WRL_title;Вернуть провинции Warsangali;;;;;;;;;;;;;;;;;;;;x,,
return_cores_WRL_desc;Мы владеем провинциями, на которые  Warsangali имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BHP_title;Вернуть провинции Bahawalpur;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BHP_desc;Мы владеем провинциями, на которые  Bahawalpur имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_EZO_title;Вернуть провинции Ezo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_EZO_desc;Мы владеем провинциями, на которые  Ezo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHY_title;Вернуть провинции Chechnya;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHY_desc;Мы владеем провинциями, на которые  Chechnya имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHK_title;Вернуть провинции Champasak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHK_desc;Мы владеем провинциями, на которые  Champasak имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_QNG_title;Вернуть провинции Qing China;;;;;;;;;;;;;;;;;;;;x,,
return_cores_QNG_desc;Мы владеем провинциями, на которые  Qing China имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MGH_title;Вернуть провинции Maghreb;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MGH_desc;Мы владеем провинциями, на которые  Maghreb имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAH_title;Вернуть провинции Bahia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAH_desc;Мы владеем провинциями, на которые  Bahia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHP_title;Вернуть провинции Chiapas;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHP_desc;Мы владеем провинциями, на которые  Chiapas имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CEQ_title;Вернуть провинции Equador Confederation;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CEQ_desc;Мы владеем провинциями, на которые  Equador Confederation имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ENT_title;Вернуть провинции Entre Rios;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ENT_desc;Мы владеем провинциями, на которые  Entre Rios имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GCO_title;Вернуть провинции Gran Colombia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GCO_desc;Мы владеем провинциями, на которые  Gran Colombia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GUY_title;Вернуть провинции Guyana;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GUY_desc;Мы владеем провинциями, на которые  Guyana имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LOS_title;Вернуть провинции Los Altos;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LOS_desc;Мы владеем провинциями, на которые  Los Altos имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LPL_title;Вернуть провинции La Plata;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LPL_desc;Мы владеем провинциями, на которые  La Plata имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_OAX_title;Вернуть провинции Oaxaca;;;;;;;;;;;;;;;;;;;;x,,
return_cores_OAX_desc;Мы владеем провинциями, на которые  Oaxaca имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PBC_title;Вернуть провинции Peru-Bolivia Confederation;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PBC_desc;Мы владеем провинциями, на которые  Peru-Bolivia Confederation имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PTG_title;Вернуть провинции Patagonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PTG_desc;Мы владеем провинциями, на которые  Patagonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RGR_title;Вернуть провинции Rio Grande;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RGR_desc;Мы владеем провинциями, на которые  Rio Grande имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RGS_title;Вернуть провинции Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RGS_desc;Мы владеем провинциями, на которые  Rio Grande do Sul имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SON_title;Вернуть провинции Sonora;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SON_desc;Мы владеем провинциями, на которые  Sonora имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SPU_title;Вернуть провинции South Peru;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SPU_desc;Мы владеем провинциями, на которые  South Peru имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_YUC_title;Вернуть провинции Yucatan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_YUC_desc;Мы владеем провинциями, на которые  Yucatan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BLZ_title;Вернуть провинции Belize;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BLZ_desc;Мы владеем провинциями, на которые  Belize имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAK_title;Вернуть провинции Dakota;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAK_desc;Мы владеем провинциями, на которые  Dakota имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FSA_title;Вернуть провинции Free States of America;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FSA_desc;Мы владеем провинциями, на которые  Free States of America имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GRN_title;Вернуть провинции Greenland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GRN_desc;Мы владеем провинциями, на которые  Greenland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JAM_title;Вернуть провинции Jamaica;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JAM_desc;Мы владеем провинциями, на которые  Jamaica имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LSK_title;Вернуть провинции Alaska;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LSK_desc;Мы владеем провинциями, на которые  Alaska имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MRU_title;Вернуть провинции Maritime Union;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MRU_desc;Мы владеем провинциями, на которые  Maritime Union имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PRI_title;Вернуть провинции Puerto Rico;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PRI_desc;Мы владеем провинциями, на которые  Puerto Rico имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RPL_title;Вернуть провинции Rupert's Land;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RPL_desc;Мы владеем провинциями, на которые  Rupert's Land имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TRS_title;Вернуть провинции Tarasco;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TRS_desc;Мы владеем провинциями, на которые  Tarasco имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TTB_title;Вернуть провинции Trinidad;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TTB_desc;Мы владеем провинциями, на которые  Trinidad имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UIL_title;Вернуть провинции Illinois;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UIL_desc;Мы владеем провинциями, на которые  Illinois имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UNB_title;Вернуть провинции Nebraska;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UNB_desc;Мы владеем провинциями, на которые  Nebraska имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UNM_title;Вернуть провинции New Mexico;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UNM_desc;Мы владеем провинциями, на которые  New Mexico имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UOR_title;Вернуть провинции Oregon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UOR_desc;Мы владеем провинциями, на которые  Oregon имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ALS_title;Вернуть провинции Elsass;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALS_desc;Мы владеем провинциями, на которые  Elsass имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ATR_title;Вернуть провинции Asturias;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ATR_desc;Мы владеем провинциями, на которые  Asturias имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BAN_title;Вернуть провинции Banat;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BAN_desc;Мы владеем провинциями, на которые  Banat имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BKV_title;Вернуть провинции Bukovina;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BKV_desc;Мы владеем провинциями, на которые  Bukovina имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRT_title;Вернуть провинции Brittany;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRT_desc;Мы владеем провинциями, на которые  Brittany имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BSQ_title;Вернуть провинции Basqueland;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BSQ_desc;Мы владеем провинциями, на которые  Basqueland имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRS_title;Вернуть провинции Corsica;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRS_desc;Мы владеем провинциями, на которые  Corsica имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DLM_title;Вернуть провинции Dalmatia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DLM_desc;Мы владеем провинциями, на которые  Dalmatia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ENL_title;Вернуть провинции England;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ENL_desc;Мы владеем провинциями, на которые  England имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GLC_title;Вернуть провинции Galicia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GLC_desc;Мы владеем провинциями, на которые  Galicia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GLM_title;Вернуть провинции Galicia-Lodomeria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GLM_desc;Мы владеем провинциями, на которые  Galicia-Lodomeria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LOR_title;Вернуть провинции Lorraine;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LOR_desc;Мы владеем провинциями, на которые  Lorraine имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MCD_title;Вернуть провинции Macedonia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MCD_desc;Мы владеем провинциями, на которые  Macedonia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MLT_title;Вернуть провинции Malta;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MLT_desc;Мы владеем провинциями, на которые  Malta имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_OCC_title;Вернуть провинции Occitania;;;;;;;;;;;;;;;;;;;;x,,
